time,sensor_id,r_x_km,r_y_km,r_z_km,v_x_km/s,v_y_km/s,v_z_km/s,ra_deg,dec_deg,ra_rate_deg/s,dec_rate_deg/s
0,gps_measurement,5037.66127,-23575.84589,11253.92476,1.254918759,3.379910941,0.580997293,,,,
0,gps_measurement,5037.991583,-23572.30711,11247.13478,1.255075717,3.38043754,0.580163065,,,,
600,gps_measurement,5777.151075,-21452.9576,11550.27564,1.180118153,3.692190956,0.422770351,,,,
600,gps_measurement,5769.23379,-21453.7695,11547.54721,1.178947949,3.692503107,0.422608645,,,,
1200,gps_measurement,6452.293206,-19138.72586,11751.36848,1.077315151,4.035531192,0.225553729,,,,
1200,gps_measurement,6450.794209,-19136.84237,11742.36442,1.076094708,4.034524149,0.225349166,,,,
1800,gps_measurement,7052.108924,-16599.80488,11803.44123,0.932988848,4.41290234,-0.024699932,,,,
1800,gps_measurement,7061.897333,-16602.31716,11803.66839,0.933086844,4.412865316,-0.023943014,,,,
2400,gps_measurement,7549.467509,-13817.31504,11713.73413,0.731997227,4.828961078,-0.345929867,,,,
2400,gps_measurement,7559.531059,-13828.57324,11698.47125,0.731109213,4.829672051,-0.34736219,,,,
3000,gps_measurement,7923.676962,-10790.09437,11366.86103,0.44198993,5.287533973,-0.777918059,,,,
3000,gps_measurement,7914.251621,-10792.95993,11367.2321,0.441097799,5.287479362,-0.778300501,,,,
3600,gps_measurement,8049.841968,-7478.170958,10732.4616,0.008668249,5.775046386,-1.374830691,,,,
3600,gps_measurement,8058.373233,-7475.457722,10737.33089,0.008986545,5.775266471,-1.373607615,,,,
4200,gps_measurement,7883.517417,-3866.77775,9663.546832,-0.664845922,6.243100847,-2.234774974,,,,
4200,gps_measurement,7874.569044,-3868.254854,9663.653872,-0.664735861,6.24336419,-2.234595034,,,,
4800,gps_measurement,7174.671944,-27.0610106,7958.891471,-1.760623744,6.500761833,-3.513224841,,,,
4800,gps_measurement,7167.620697,-22.34092336,7973.962054,-1.761130218,6.501355545,-3.510900296,,,,
5130,ground_observer_1,,,,,,,328.5618917,40.22120156,0.066350012,-0.001369187
5160,ground_observer_1,,,,,,,330.5514847,40.18029811,0.071260035,-0.0031564
5190,ground_observer_1,,,,,,,332.6906658,40.08487498,0.076839154,-0.005426624
5220,ground_observer_1,,,,,,,334.9942274,39.92335965,0.08293475,-0.008132182
5250,ground_observer_1,,,,,,,337.4828874,39.67899152,0.089810214,-0.011528063
5280,ground_observer_1,,,,,,,340.1770913,39.33353205,0.097426299,-0.015689453
5310,ground_observer_1,,,,,,,343.100332,38.8628902,0.105894964,-0.020877994
